숲이야기순번,구분,식물명,영문명,안내,학명,식물분류군명,서식장소,식물의일생,식물이야기설명,식물자료제공,등록일
179,초본류,현호색, ,쌍떡잎식물 이판화군 양귀비목 : 현호색과의 여러해살이풀,Corydalis remota Fisch. ex Maxim.,현호색과,산록의 습기가 있는 곳,"덩이줄기는&#160;지름&#160;1cm정도이고&#160;여기서&#160;나온&#160;줄기는&#160;20cm&#160;정도&#160;자라는&#160;여러해살이&#160;풀이다.&#160;밑부분에&#160;포&#160;같은&#160;잎이&#160;1개&#160;달리고&#160;거기서&#160;가지가&#160;갈라진다.&#160;잎은&#160;어긋나고&#160;잎자루가&#160;길며&#160;1~2회&#160;3개씩&#160;갈라진다.&#160;갈래조각은&#160;도란형이고&#160;윗부분이&#160;깊게&#160;또는&#160;결각상으로&#160;갈라지며&#160;가장자리에&#160;톱니가&#160;있고&#160;뒷면은&#160;분백색이다.&#160; 꽃은&#160;4월에&#160;피고&#160;연한&#160;홍자색이며&#160;총상꽃차례로&#160;5~10개가&#160;달린다.&#160;화관은&#160;길이&#160;2.5cm정도이고&#160;뒤쪽은&#160;꿀주머니로&#160;되며&#160;앞쪽은&#160;넓게&#160;퍼져&#160;있으며&#160;꽃잎은&#160;4장이고&#160;꽃은&#160;한쪽으로&#160;넓게&#160;퍼지며&#160;거의&#160;끝이&#160;약간&#160;밑으로&#160;굽는다.&#160;열매는&#160;길이&#160;2cm,&#160;너비&#160;3cm정도로서&#160;선형의&#160;삭과로&#160;익으며&#160;양끝이&#160;좁고&#160;뾰족하며&#160;씨는&#160;둥글도&#160;광택이&#160;있다.&#160;한국&#160;및&#160;중국&#160;동북부를&#160;거쳐&#160;시베리아까지&#160;분포한다.",이른 봄 다른 꽃보다 앞서서 피어나는 꽃입니다.,단양국유림관리소,2009-07-10
18,목본류,노린재나무,Asian sweetleaf,쌍떡잎식물 감나무목 : 노린재나무과의 낙엽활엽관목 또는 소교목,Symplocos chinensis for. pilosa (Nakai) Ohwi,노린재나무과,산과 들        ,"높이 1~3m이며 나무 껍질은 세로로 갈라지고 가지는 퍼져 나며 작은가지에 털이 난다. 잎은 어긋나고 타원형 또는 긴 타원형의 달걀을 거꾸로 세워놓은 모양이며 노란색이다. 끝으로 갈수록 점차 뾰족해지며 길이 3~7cm, 나비 3~4cm로 잎 앞면은 짙은 녹색이고 털이 없으며, 뒷면에는 털이 나거나 없고 작은 톱니가 있으나 때로 뚜렷하지 않다.잎자루는 길이 3~8mm이고 5월에 흰꽃이 피는데, 새가지 끝에 원추꽃차례를 이룬다. 꽃차례는 길이 4~8cm이며 포는 줄 모양이며 막질로 일찍 떨어지며 꽃받침과 화관은 5갈래로 갈라지며 화관의 지름은 7~8mm이다, 꽃대에는 털이 나고 꽃잎은 긴 타원형이며 수술은 여러 개이고 열매는 타원형이고 길이 8mm정도이며 9월에 짙은 파란색으로 익는다. 열매가 흰색으로 익는 것은 횐노린재라고 하는데, 강원도에서 자란다. 한국 · 일본 · 중국 · 히말라야산맥 등지에 분포한다.",나뭇잎을 태우면 노란 재가 남는다고 노린재나무라고 합니다.,단양국유림관리소     ,2009-07-10
19,목본류,노박덩굴, Oriental Bittersweet,쌍떡잎식물 무환자나무목 노박덩굴과의 낙엽활엽 덩굴나무,Celastrus orbiculatus Thunb.,노박덩굴과,산과 들의 숲속,"길이 약 10m로 가지는 갈색 또는 잿빛을 띤 갈색이다. 잎은 타원형이거나 둥근 모양이고 끝은 뾰족하며 밑부분은 둥글고 톱니가 있다. 꽃은 2가화 또는 잡성화이며 5~6월에 피고 빛깔은 노란빛을 띤 녹색이며 취산꽃차례로 잎겨드랑이에서 나와 1~10송이씩 달린다. 열매는 삭과로 공 모양이며 지름 8mm정도이다. 10월에 노란색으로 익으며 3개로 갈라지고, 종자는 노란빛을 띤 붉은색의 가종피에 싸여 있다. 한국 · 중국 · 일본 · 쿠릴열도 등지에 분포한다.","겨울 산행을 하다보면 산기슭이나 개울가, 낮은 산에서 볼 수 있습니다.",단양국유림관리소     ,2009-07-10
2,목본류,가죽나무," Tree-of-heaven, Copal Tree, Varnish Tree",쌍떡잎식물 쥐손이풀목 : 소태나무과의 낙엽 교목,Ailanthus altissima (Mill.) Swingle for. altissima,소태나무과 ,얕은 산지,"성장이 빠르고 줄기 지름 50cm, 높이 20~25cm에 이르고 나무껍질은 회갈색이다. 잎은 어긋나고 홀수 1회 깃꼴겹잎이며 길이 45~80cm로 작은잎은 13~25개로 길이 7~12cm, 나비 2~5cm이다. 넓은 바소꼴로 위로 올라갈수록 뾰족해지고 털이 난다. 잎 표면은 녹색이고 뒷면은 연한 녹색으로 털이 많다.  꽃은 집성화로 원추꽃차례를 이루며 6~7월에 녹색이 도는 흰색의 작은 꽃이 핀다. 열매는 시과로 긴 타원형이며 길이 3~5cm, 나비 8~12mm이다. 프로펠러처럼 생긴 날개 가운데 1개의 씨가 들어있다. 한국 · 일본 · 중국 · 사할린 · 몽골 · 유럽 등지에 분포한다.","가죽나무의 뜻은 가짜 죽나무로, 진짜 죽나무는 참죽나무라고 합니다.",단양국유림관리소     ,2009-07-10
20,목본류,누리장나무,Harlequin Glory-bower,쌍떡잎식물 통화식물목 : 마편초과의 낙엽활엽 관목,Clerodendrum trichotomum Thunb. ex Murray,마편초과 ,산기슭이나 골짜기의 기름진 땅,"높이 약 2m로 나무껍질은 잿빛이며 마주나고 달걀 모양이며 끝이 뾰족하며 밑은 둥글고 가장자리에 톱니가 없으며 양면에 털이 난다. 잎 길이 8~20cm, 나비 5~10cm로 겉에는 털이 없으나 뒷면에는 털이 나며 잎자루는 길이 3~10cm이다. 꽃은 양성화로 8~9월에 엷은 붉은색으로 피며 취산꽃차례로 새가지 끝에 달리며 강한 냄새가 난다. 꽃받침은 붉은빛을 띠고 5개로 깊게 갈라지며 그 조각은 달걀 모양 또는 긴 달걀모양이다. 화관은 지름 3cm이고 5개로 갈라진다. 열매는 핵과로 둥글며 10월에 짙은 파란빛으로 익는다. 한국(황해 · 강원이남) · 일본 · 타이완 · 중국 등지에 분포한다.",누리장나무란 이름은 이 나무에서 나는 누린내 같은 냄새에서 유래했다고 합니다.,단양국유림관리소     ,2009-07-10
21,목본류,느티나무,Sawleaf zelkova,쌍떡잎식물 쐐기풀목 : 느릅나무과의 낙엽활엽 교목,Zelkova serrata (Thunb.) Makino,느릅나무과,"산기슭,골짜기 또는 마을 부근","높이는 26m, 지름이 3m로 굵은 가지가 갈라지고, 나무껍질은 회백색이고 늙은나무에서는 비늘처럼 떨어진다. 피목은 옆으로 길어지고, 어린 가지에 잔털이 빽빽이 있다. 잎은 어긋나고 긴 타원 모양 또는 달걀 모양이며 길이가 2~12cm, 폭이 1~5cm이고 표면이 매우 거칠거칠하며 끝이 뾰족해진다. 잎 가장자리에 톱니가 있고, 잎맥은 주맥에서 갈라진 8~18쌍의 측맥이 평행을 이루며, 잎자루는 1~3mm로 매우 짧다. 꽃은 암수한그루이고 5월에 취산꽃차례를 이루며 피는데, 수꽃은 어린가지의 밑부분 잎겨드랑이에 달리고, 암꽃은 윗부분 잎겨드랑이에 달린다.  수꽃의 화피는 4~6개로 갈라지고, 수술은 4~6개이며 암꽃은 퇴화된 수술과 암술대가 2개로 갈라진 암술이 있다. 열매는 핵과로 일그러진 납작한 공 모양이고 딱딱하며 지름이 4mm이고 뒷면에 모가 난 줄이 있으며 10월에 익는다. 한국(평남 · 함남 이남지역) · 일본 · 몽골 · 중국 · 시베리아 · 유럽 등지에 분포한다.",시골 동네 어귀에는 어김없이 정자나무 한 그루가 서 있습니다.,단양국유림관리소     ,2009-07-10
22,목본류,능금나무, ,쌍떡잎식물 장미목 : 장미과의 낙엽활엽 소교목 ,Malus asiatica Nakai,장미과   ,전국 어디서나 잘 자람,"높이는 10m이고, 여러가지에 털이 많다. 잎은 어긋나고 달걀 모양 또는 타원 모양이고 끝이 뾰족하며 밑은 뭉뚝하고 잎 앞면에 잔털이 있으나 점차 없어지며, 뒷면에 솜털이 있다. 잎 가장자리에는 잔톱니가 있으며 잎자루는 길이가 1~4cm이고 털이 있다. 꽃은 4~5월에 피고 짧은 가지에 우산 모양을 이루며 4~7개가 달린다. 열매는 이과이고 지름이 4~5.5cm이며 10월에 노란빛을 띤 붉은색으로 익고 겉에 흰 가루가 덮여 있다. ",옛날부터 개성과 서울 자하문 밖에서 많이 재배되었다고 합니다.,단양국유림관리소     ,2009-07-10
23,목본류,다래,"Bower Actinidia, Tara Vine, Yang-Tao",쌍떡잎식물 측막태좌목 : 다래나무과의 낙엽 덩굴나무,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq. var. arguta,다래나무과,깊은 산 숲 속,"덩굴 식물로 길이가 7m에 달한다. 줄기의 골속은 갈색이며 계단모양이고 어린가지에 잔털이 있으며 피목이 뚜렷하다. 잎은 어긋나고 길이가 6~12cm, 폭이 3.5~7cm이며 넓은 달걀 모양이거나 넓은 타원 모양 또는 타원 모양이고 끝이 급하게 뾰족하고 밑부분이 둥글다.잎 앞면에는 털이 없고 뒷면 맥 위에 갈색 털이 났다가 없어지며 잎 가장자리에는 가는 톱니가 있고, 잎자루는 길이가 3~8cm이고 누운  털이 있다. 꽃은 암수딴그루이고 5월에 흰색으로 피며 잎겨드랑이에 취산꽃차례를 이루며 3~10개가 달린다. 꽃받침 조각은 5개이고 긴 타원 모양이며, 꽃잎은 5개이고 밑 부분이 갈색을 띤다. 수꽃에는 많은 수술이 있고, 암꽃에는 1개의 암술만이 있으며 암술 끝이 여러갈래로 갈라진다. 열매는 장과이고 길이 2~3cm의 달걀 모양의 원형이며 10월에 황록색으로 익는다. 한국 · 일본 · 중국(만주) · 우수리강 유역 · 사할린 등지에 분포한다.",다래는 다래덩굴 또는 다래나무라고 부르기도 합니다.,단양국유림관리소     ,2009-07-10
24,목본류,다릅나무,Amur Maackia,쌍떡잎식물 장미목 : 콩과의 낙엽활엽 교목,Maackia amurensis Rupr. & Maxim. var. amurensis,콩과   ,산,"높이는 15m로 나무 껍질은 엷고 녹갈색이고 광택이 있다. 잎은 어긋나며 홀수 1회 깃꼴겹잎이며 작은 잎은 타원 모양 또는 긴 달걀 모양이며 길이가 5~8cm이고 끝이 뾰족하며 밑 부분이 둥글고 가장자리가 밋밋하다. 꽃은 7월에 흰색으로 피고 가지 끝에 길이 10~20cm의 총상꽃차례 또는 원추꽃차례를 이루며 달린다.꽃의 지름은 8mm로 꽃받침은 4개로 얕게 갈라지고, 갈라진 조각은 삼각형이다. 기판은 긴 타워 모양이고 끝이 오목하며, 익판은 끝이 둥글고, 용골판은 긴 타원 모양이다. 수술은 10개이고, 열매는 협과이며 넓은 줄 모양이다. 한국 · 중국(만주) · 우수리강 유역에 분포한다. ",다릅나무속은 동아시아 온대에 8종류가 있고 우리나라에도 분포합니다.,단양국유림관리소     ,2009-07-10
25,목본류,닥나무,Kazinoki Papermul-berry,쌍떡잎식물 쐐기풀목 : 뽕나무과의 낙엽활엽 관목,Broussonetia kazinoki Siebold,뽕나무과,산기슭 양지쪽이나 밭둑,높이는 3m에 달하고 작은 가지에 짧은 털이 있으나 곧 없어지며 나무 껍질은 회갈색이다. 잎은 어긋나고 길이가 5~20cm이며 달걀 모양 또는 긴  달걀모양이고 끝부분이 길고 뾰족하며 밑 부분은 둥글다. 잎 가장자리는 톱니가 있고 2~3개로 깊게 패어 들어가 있으며 앞면은 거칠고 뒷면에는 짧은 털이 있으나 곧 없어진다. 꽃은 암수 한그루이고 봄에 핀 잎과 같이 핀다. 열매는 핵과이고 둥글며 10월에 붉은빛으로 익는다. 한국 · 일본 · 대만 · 중국에 분포한다.,흔히 된발음으로 딱나무라고 불리기도 합니다.,단양국유림관리소     ,2009-07-10
26,목본류,당단풍,Manshurian Fullmoon Maple,쌍떡잎식물 무환자나무목 : 단풍나무과의 낙엽활엽 교목,Acer pseudosieboldianum (Pax) Kom.,단풍나무과,산,"지름이 30cm, 높이 8m이며, 나무껍질은 회색이고 가지는 적갈색을 띤다. 잎은 마주나고 길이 7~10cm의 손바닥 모양이며 9~11개로 깊게 갈라지며 잎 끝이 뾰족하고 가장자리에는 겹톱니가 있으며, 앞면에는 털이 있거나 없으며 뒷면에는 맥을 따라 연한 털이 있다. 꽃은 5월에 피고 산방꽃차례를 이루며 10~20개가 가지 끝에 달리는데, 그 중 양성화는 2~3개이다. 꽃잎은 4개이고, 수꽃에는 암술의 흔적과 4~8개의 수술이 있으며, 꽃받침은 5~6개로 갈라진다. 열매는 시과이고 9~10월에 익으며 털이 없고 열매의 날개는 긴 타원 모양이고 두 날개가 70 °로 벌어진다. 한국 · 중국(만주) · 우수리강유역에 분포한다. ",Y자 모양으로 생긴 가지는 지하수를 찾는 신통한 나무라고 합니다.,단양국유림관리소     ,2009-07-10
27,목본류,대추나무,Common Jujbe,쌍떡잎식물 갈매나무목 : 갈매나무과의 낙엽활엽 교목,Zizyphus jujuba var. inermis (Bunge) Rehder,갈매나무과,마을 부근 재배,"나무에 가시가 있고 마디 위에 작은 가시가 다발로 난다. 잎은 어긋나고 달걀 모양 또는 긴 달걀 모양이며 3개의 잎맥이 뚜렷이 보이며 잎의 윗면은 연한 초록색으로 약간 광택이 나며 잎 가장자리에 잔 톱니들이 있다. 잎자루에 가시로 된 턱잎이 있으며 6월에 연한 황록색 꽃이 피며 잎겨드랑이에서 짧은 취산꽃차례를 이루며 꽃받침조각 · 꽃잎 · 수술은 각각 5개이고 암술은 1개이다. 열매는 핵과로 타원형이고 표면은 적갈색이며 윤이 나며 외과피는 얇은 혁질이고 점착성이 있으며 갯솜과 같다. 내과피는 딱딱하고 속에 종자가 들어 있으며, 9월에 빨갛게 익는다. 한국과 중국을 비롯한 아시아 · 유럽 등지에 분포한다.","한자 이름 대조목에서 대조나무, 대추나무로 변형된 것으로 알려져 있습니다.",단양국유림관리소     ,2009-07-10
28,목본류,두릅나무,Korean anglelica tree,쌍떡잎식물 산형화목 : 두릅나무과의 낙엽활엽 관목,Aralia elata (Miq.) Seem.,두릅나무과 ,산기슭 양지쪽이나 골짜기,"높이는 3~4m로 줄기는 그리 갈라지지 않으며 억센 가시가 많다. 잎은 어긋나고 홀수 2회 깃꼴겹잎이며 잎자루와 작은잎에 가시가 있으며 작은 잎은 넓은 달걀 모양 또는 타원상 달걀모양으로 끝이 뾰족하고 밑은 둥글다.8~9월에 가지 끝에 산형꽃차례를 이루고 백색 꽃이 핀다. 열매는 핵과로 둥글고 10월에 검게 익으며, 종자는 뒷면에 좁쌀 같은 돌기가 약간 있다. 한국 · 일본 · 사할린 · 중국 · 만주 등지에 분포한다.",두릅나무라고 하면 누구나 아는 친숙한 나무입니다.,단양국유림관리소     ,2009-07-10
29,목본류,딱총나무, ,쌍떡잎식물 합판화군 꼭두서니목 : 인동과의 낙엽활엽 관목,Sambucus williamsii var. coreana (Nakai) Nakai,인동과  ,산골짜기 ,"높이는 3m 내외이고 덩굴처럼 자라며 줄기의 속이 어두운 갈색이다. 나무껍질은 회갈색이며 코르크질이 발달하고 길이 방향으로 깊게 갈라진다. 어린 가지는 연한 초록빛이며 마디 부분은 보라색을 띠며 잎은 마주나고 2~3쌍의 작은 잎으로 된 홀수 1회 깃꼴겹잎이다. 작은 잎은 길이 5~14cm로 긴 타원형 또는 타원형의 달걀 모양이고 끝은 뾰족하며 밑은 날카롭고 가장자리에 톱니가 있다.   꽃은 5월에 피고 돌기가 있으며 짧은 원추꽃차례를 이루며 화관은 황록색이 돌고 털이 없으며, 꽃밥은 노란색이다. 열매는 핵과로 공 모양이며 7월에 붉게 익는다. 한국(전남 · 경남 · 경북 · 충남 · 강원 · 경기 · 평북 · 함남 · 함북) · 일본 · 중국 · 우수리 등지에 분포한다.",딱총나무란 이름은 줄기의 속이 독특하여 꺾으면 '딱' 소리가 난다고 합니다.,단양국유림관리소     ,2009-07-10
3,목본류,갈매나무,Davurian  Buckthorn,쌍떡잎식물 갈매나무목 : 갈매나무과의 낙엽활엽 관목,Rhamnus davurica Pall.,갈매나무과,골짜기와 냇가,"높이는 5m정도이며, 가지 끝이 변하여 된 가시가 있다. 잎은 마주나고 거꾸로 선 달걀 모양 또는 긴 타원형으로 끝이 뾰족하며 잎맥에 털이 있다. 잎 뒷면은 회록색이고 가장자리에 톱니가 있으며 잎자루는 6~25mm이고 턱잎은 가늘며 빨리 떨어진다. 꽃은 단성화로 가지 밑쪽의 잎겨드랑이에 1~2개씩 달리고, 수술에 퇴화된 암술이 있으며, 암꽃에는 꽃밥이 없는 수술이 있다. 꽃받침은 달걀 모양으로 5~6월에 청록색의 꽃이 핀다. 열매는 둥글고 9~10월에 검은색으로 익으며 지름이 7mm정도의 원형이며 2개의 씨가 들어 있고 가을에 열매를 채취하여 밖에 묻어두었다가 봄에 파종한다. 한국 · 중국 동북부 · 아무르 · 우수리 등지에 분포한다. ","갈매나무는 한자로 서리라고 하며, 재목은 공예재로 쓰입니다.",단양국유림관리소     ,2009-07-10
30,목본류,땅비싸리,Kirilow Indigo,쌍떡잎식물 이판화군 장미목 : 콩과의 낙엽활엽 관목,Indigofera kirilowii Maxim. ex Palib.,콩과   ,산기슭 ,"높이는 1m정도이고 뿌리에서 많은 싹이 나온다. 여러 개의 줄기가 올라오며 가지에 세로로 된 줄 모양의 돌기가 있다. 잎은 어긋나고 홀수 1회 깃꼴겹잎이며 작은 잎은 7~11개로 두껍고 원형 · 타원형 또는 거꾸로 선 달걀 모양이며 양면에 털이 있다. 길이 2cm정도의 적자색 꽃이 5~6월에 피고, 잎 겨드랑이에서 총상꽃차례를 이룬다. 꽃받침은 길이 3mm정도이며 기판의 겉에 털이 나 있으며 열매는 협과로 줄 모양이고 10월에 익는다.  중국 만주 등지와 함경북도를 제외한 전국 각지에 분포한다.","여름 숲가, 산기슭에 엉성하게 만들어진 덤불 사이에서 볼 수 있습니다.",단양국유림관리소     ,2009-07-10
31,목본류,때죽나무, ,쌍떡잎식물 합판화군 감나무목 : 때죽나무과의  낙엽소교목,Styrax japonicus Siebold & Zucc.,때죽나무과 ,산기슭 ,낙엽 소교목으로 높이는 10m 내외로 가지에 성모가 없어지고 표피가 벗겨지면서 다갈색으로 된다. 잎은 어긋나고 달걀 모양 또는 긴 타원형이며 가장자리는 밋밋하거나 톱니가 약간 있다. 꽃은 단성화이고 종 모양으로 생겼으며 5~6월에 지름 1.5~3.5cm의 흰색 꽃이 잎겨드랑이에서 총상꽃차례로 2~5개씩 밑을 향해 달린다. 꽃부리는 5갈래로 깊게 갈라지며 수술은 10개이고 수술대의 아래쪽에는 흰색 털이 있다. 열매는 삭과로 길이 1.2~1.4cm의 달걀형의 공 모양으로 9월에 익고 껍질이 터져서 종자가 나온다. 한국(중부 이남) · 일본 · 필리핀 · 중국 등지에 분포한다.,때죽나무의 속명은 '물방울'이라는 뜻의 '스타리아'에서 유래되었다고 합니다.,단양국유림관리소     ,2009-07-10
32,목본류,말채나무,Walter Dogwood,쌍떡잎식물 산형화목 : 층층나무과의 낙엽교목 ,Cornus walteri F.T.Wangerin,층층나무과 ,계곡,높이 약 10m로 나무 껍질은 검은 빛을 띤 갈색으로 그물같이 갈라진다. 잎은 마주나고 넓은 달걀 모양이거나 타원형으로 양면에 복모가 약간 나며 가장자리가 밋밋하고 측맥은 4~5쌍이다. 꽃은 5~6월에 피고 흰색이며 취산꽃차례에 달린다. 열매는 핵과로서 둥글고 9~10월에 검게 익는다. 한국 · 중국 등지에 분포한다.,말채나무란 이름은 봄에 한창 물이 오를 때 가느다란 줄기 모습에서 유래했다고 합니다.,단양국유림관리소     ,2009-07-10
33,목본류,매화말발도리, ,쌍떡잎식물 장미목 : 범의귀과의 낙엽 관목 ,Deutzia uniflora Shirai,범의귀과 ,산지의 바위틈,"높이 약 1m로 나무껍질은 잿빛이고 불규칙하게 벗겨진다. 잎은 마주나고 타원형 이거나 넓은 바소꼴이며 가장자리에 잔 톱니가 있고 양면에 4~6개로 갈라진 성모가 나며, 길이는 4~6cm이다. 꽃은 5월에 피고 흰색이며 묵은 가지에 1~3개씩 달리는데, 꽃 밑에 1~2개의 잎이 달리기도 한다. 꽃받침통은 씨방과 붙어 있고 작은 꽃자루와 더불어 성모가 빽빽이 난다. 꽃받침조각과 꽃잎은 5개씩이고 수술은 10개이며 수술대는 양쪽에 날개가 있다. 씨방은 하위이고 암술대는 3개로 갈라지며 열매는 종 모양의 삭과로서 9월에 익으며 3개의 홈이 있고 암술대가 남아 있다. 한국(중부이남) · 일본에 분포한다. ",매화말발도리는 말발도리를 닮았으면서 꽃이 매화를 닮았다고 합니다.,단양국유림관리소     ,2009-07-10
34,목본류,모감주나무, ,쌍떡잎식물 무환자나무목 : 무환자나무과의 낙엽 소교목,Koelreuteria paniculata Laxmann,무환자나무과,바닷가,잎은 어긋나며 1회 깃꼴겹잎이고 작은잎은 달걀모양이며 가장자리는 깊이 패어 들어간 모양으로 갈라진다.꽃은 7월에 피고 원추꽃차례의 가지에 수상으로 달리며 황색이지만 밑동은 적색이다. 열매는 꽈리같이 생기고 3개로 갈라져서 3개의 검은 종자가 나온다. 한국(황해도와 강원 이남) · 일본 · 중국 등지에 분포한다.,모감주나무라는 이름은 중국 선종과 관련이 있다고 전해집니다.,단양국유림관리소     ,2009-07-10
35,목본류,무궁화," Rose-of-sharon, Althaea, Shrub Althaea",쌍떡잎식물 아욱목 : 아욱과의 낙엽관목,Hibiscus syriacus L.,아욱과 낙엽활엽 관목,깊은 산을 제외한 전지역,"내한성으로 높이 2~4m이고 때로는 거의 교목이 되는 것도 있으며 전체에 털이 없고 많은 가지를 치며 회색을 띤다. 잎은 늦게 돋아나고 어긋나며 자루가 짧고 마름모꼴 또는 달걀 모양으로 길이 4~6cm, 너비 2.5~5cm며 얕게 3개로 갈라지며 가장자리에 불규칙한 톱니가 있다. 표면에는 털이 없으나 잎 뒷면에는 털이 있고 꽃은 반드시 새로 자란 잎겨드랑이에서 하나씩 피고 대체로 종모양이며 자루는 짧다. 꽃은 지름 7.5cm정도이고 보통 홍자색 계통이나 흰색 · 연분홍색 · 분홍색 · 다홍색 · 보라색 · 자주색 · 등청색 · 벽돌색 등이 있다. 꽃의 밑둥에는 진한 색의 무늬가 있는 경우가 많다. 무늬에 진한 빛깔의 맥이 밖을 향하여 방사상으로 뻗으며 꽃은 홀꽃과 여러 형태의 겹꽃이 있다. 홀꽃의 꽃잎은 대체로 달걀을 거꾸로 세운 모양으로 5개인데 밑동에서는 서로 붙었으며 겹꽃은 수술과 암술이 꽃잎으로 변한 것으로 암술이 변한 정도에 따라 다양하다. 수술은 많은 단체수술이고 암술대는 수술통 중앙부를 뚫고 나오며 암술머리는 5개이다. 꽃받침조각은 달걀 모양 바소꼴인데 성모가 있고, 외부에는 꽃받침보다 짧은 줄 모양의 외악이 있다. 열매는 길쭉한 타원형으로 5실이고 10월에 익으며 5개로 갈라진다. 종자는 편평하며 털이 있다. 꽃이 아름답고 꽃피는 기간이 7~10월로 길다. 한국 · 싱가포르 · 홍콩 ·  타이완 등지에서 심어 재배하고 있다.","무궁무진하게 꽃이 핀다 하여 무궁화로 불리며, 근화라고도 합니다.",단양국유림관리소     ,2009-07-10
